,country,child_mort,exports,health,imports,inflation,life_expec,total_fer,gdpp,cluster
0,Afghanistan,55.7,10.0,7.58,44.9,9.1,61.982,5.82,1357.9878,1
1,Albania,9.5,28.0,6.55,48.6,4.8,76.463,1.65,12978.101,2
2,Algeria,22.3,38.4,4.17,31.4,9.0,76.377,2.89,13506.444,2
3,Angola,69.4,62.3,2.85,42.9,13.1,61.643,6.16,6118.905,1
4,Antigua and Barbuda,6.1,45.5,6.03,58.9,5.0,78.497,2.13,12200.0,2
5,Argentina,6.9,18.9,8.1,16.0,121.7,75.39,2.37,18292.318,2
6,Armenia,10.7,20.8,4.4,45.3,3.5,72.043,1.69,13837.577,2
7,Australia,3.7,19.8,8.73,20.9,5.8,83.3,1.93,52049.43,0
8,Austria,3.7,51.3,11.0,47.8,7.8,81.2390243902439,1.44,43792.855,0
9,Azerbaijan,18.6,54.3,5.88,20.7,10.3,69.366,1.92,17682.94,2
10,Bahamas,13.8,35.0,7.89,43.7,-0.393,73.8,1.86,28000.0,2
11,Bahrain,6.9,69.5,4.97,50.9,1.0,78.76,2.16,38651.6,0
12,Bangladesh,27.3,16.0,3.52,21.8,9.0,72.381,2.33,4925.721,2
13,Barbados,11.9,39.5,7.97,48.7,5.2,77.571,1.78,11545.848,2
14,Belarus,2.7,51.4,5.61,64.5,4.7,72.3706829268293,1.49,18699.799,2
15,Belgium,4.1,76.4,10.7,74.7,2.5,81.890243902439,1.86,41872.395,0
16,Belize,11.2,58.2,5.2,57.5,3.7,70.47,2.71,4340.0,2
17,Benin,83.5,23.8,4.1,37.2,5.0,59.821,5.36,2477.0903,1
18,Bhutan,26.7,42.5,5.2,70.7,5.2,71.815,2.38,2180.0,2
19,Bolivia,24.7,41.2,4.84,34.3,3.0,63.63,3.2,6481.3906,2
20,Bosnia and Herzegovina,5.6,29.7,11.1,51.3,5.5,75.3,1.31,12142.863,0
21,Botswana,34.9,43.6,8.3,51.3,5.9,61.141,2.88,16351.91,2
22,Brazil,14.4,10.7,9.01,11.8,4.7,72.75,1.8,14640.076,2
23,Brunei,10.5,67.4,2.84,28.0,16.7,77.1,1.84,35300.0,2
24,Bulgaria,6.3,50.2,6.87,53.0,8.5,71.5146341463415,1.57,20592.455,2
25,Burkina Faso,82.6,19.2,6.74,29.6,1.4,59.27,5.87,1704.966,1
26,Burundi,52.6,8.92,11.6,39.2,20.1,61.663,6.26,717.22845,1
27,Cambodia,24.8,54.1,5.68,59.5,2.0,69.584,2.88,3944.2468,2
28,Cameroon,69.8,22.2,5.13,27.0,7.2,60.333,5.11,2812.2148,1
29,Canada,5.0,29.1,11.3,31.0,3.6,82.5966097560976,1.63,45529.645,0
30,Cape Verde,26.5,32.7,4.09,61.8,0.505,72.5,2.67,7202.767,2
31,Central African Republic,99.9,11.8,3.98,26.5,6.5,53.895,5.21,596.393,1
32,Chad,107.1,36.8,4.53,43.5,7.0,52.525,6.59,1393.5635,1
33,Chile,6.6,37.7,7.96,31.3,7.8,78.944,1.88,22740.72,2
34,China,6.9,26.3,5.07,22.6,6.94,78.211,1.59,19238.18,2
35,Colombia,12.8,15.9,7.59,17.8,11.4,72.83,2.01,14468.964,2
36,Comoros,49.7,16.5,4.51,51.7,11.1,63.417,4.75,1900.3983,1
37,"Congo, Dem. Rep.",79.0,41.1,7.91,49.6,20.8,59.193,6.54,334.0,1
38,"Congo, Rep.",43.0,85.1,2.46,54.7,20.7,63.519,4.95,2740.0,1
39,Costa Rica,7.6,33.2,10.9,35.0,0.7,77.023,1.92,15496.82,0
40,Cote d'Ivoire,74.8,50.6,5.3,43.3,5.39,58.598,5.27,4011.7122,1
41,Croatia,4.6,37.6,7.76,38.1,8.6,76.4243902439025,1.55,26986.752,0
42,Cyprus,2.8,50.2,5.97,57.5,3.5,81.203,1.42,31523.498,0
43,Czech Republic,3.4,66.0,7.88,62.9,10.9,77.5,1.51,19800.0,0
44,Denmark,3.6,50.5,11.4,43.6,4.1,81.4048780487805,1.87,50689.68,0
45,Dominican Republic,33.0,22.7,6.22,33.3,4.9,72.615,2.6,17713.52,2
46,Ecuador,12.5,27.9,8.06,32.4,2.3,73.67,2.66,10124.076,2
47,Egypt,29.1,21.3,4.66,26.6,23.5,70.5,3.19,13205.406,2
48,El Salvador,12.4,26.9,6.91,46.6,4.4,70.748,2.27,9218.905,2
49,Equatorial Guinea,76.8,85.8,4.48,58.9,2.4,60.594,5.21,22707.22,1
50,Eritrea,38.1,4.79,2.66,23.3,11.6,66.536,4.61,482.0,1
51,Estonia,2.0,75.1,6.03,68.7,10.0,76.7414634146342,1.72,30067.395,0
52,Fiji,27.7,57.8,4.86,63.9,3.0,67.114,2.67,3650.0,2
53,Finland,2.2,38.7,8.95,37.4,4.5,81.9341463414634,1.87,40701.465,0
54,France,4.4,26.8,11.9,28.1,5.6,82.3243902439024,2.03,39065.71,0
55,Gabon,39.7,57.7,3.5,18.9,3.8,65.821,4.08,15720.901,2
56,Gambia,80.3,23.8,5.69,42.7,4.3,65.5,5.71,2010.5322,1
57,Georgia,9.5,35.0,10.1,52.8,2.4,71.694,1.92,14360.359,2
58,Germany,3.6,42.3,11.6,37.1,6.3,80.9009756097561,1.39,46647.793,0
59,Ghana,44.0,29.5,5.22,45.9,42.2,63.795,4.27,4242.4106,1
60,Greece,3.7,22.1,10.3,30.7,4.1,80.1829268292683,1.48,25283.906,0
61,Grenada,16.2,23.8,5.86,49.2,3.6,74.936,2.24,7370.0,2
62,Guatemala,23.0,25.8,6.85,36.3,6.3,69.237,3.38,7969.431,2
63,Guinea,98.7,30.3,4.93,43.2,8.3,58.892,5.34,1809.2666,1
64,Guinea-Bissau,74.3,14.9,8.5,35.2,7.0,59.652,5.05,1625.3876,1
65,Guyana,27.7,51.4,5.38,79.1,5.5,65.673,2.65,3040.0,2
66,Haiti,58.6,15.3,6.91,64.7,43.6,63.192,3.33,1546.4222,1
67,Hungary,4.0,81.8,7.33,76.5,17.7,74.4658536585366,1.25,29451.855,0
68,Iceland,2.6,53.4,9.4,43.3,8.6,83.1170731707317,2.2,42145.594,0
69,India,30.6,22.6,4.05,27.1,5.5,67.24,2.6,7765.593,2
70,Indonesia,22.2,24.3,2.61,22.4,3.6,67.57,2.48,12801.671,2
71,Iran,19.3,24.4,5.6,19.4,47.0,74.5,1.76,18473.066,2
72,Iraq,24.5,39.4,8.41,34.1,5.3,70.378,4.56,13071.94,2
73,Ireland,3.1,103.0,9.19,86.5,5.2,82.1024390243903,2.05,60257.082,0
74,Israel,3.4,35.0,7.63,32.9,4.3,82.5,3.03,36648.918,0
75,Italy,2.6,25.2,9.53,27.2,6.0,82.7951219512195,1.46,36224.293,0
76,Jamaica,12.4,31.3,4.81,49.6,6.5,70.5,2.17,7481.6685,2
77,Japan,2.3,15.0,9.49,13.6,3.2,84.4456097560976,1.39,38268.79,0
78,Jordan,14.6,48.3,8.04,69.0,2.7,74.256,3.66,9151.479,2
79,Kazakhstan,10.3,44.2,4.29,29.9,15.0,70.23,2.6,26491.857,2
80,Kenya,37.2,20.7,4.75,33.6,7.7,61.427,4.37,3403.9238,1
81,Kiribati,48.2,13.3,11.3,79.9,9.0,67.417,3.84,1490.0,1
82,Kuwait,8.7,66.7,2.63,30.4,3.4,78.673,2.21,71533.516,0
